127.0.0.1 - - [26/Jun/2019:14:23:21 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:23:22 +0900] "GET /CSS/transition.html HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:23:22 +0900] "GET /CSS/transition.css HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:23:37 +0900] "GET /CSS/transition.html HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:23:38 +0900] "GET /CSS/transition.css HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:23:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:32:03 +0900] "GET /CSS/transform.css HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:32:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:32:07 +0900] "GET /CSS/transform.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:32:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:33:25 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:34:20 +0900] "GET /CSS/transform.html HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:34:57 +0900] "GET /CSS/transform.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:34:57 +0900] "GET /CSS/transform.css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:00 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:13 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:13 +0900] "GET /CSS/transform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:14 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:15 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:16 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:17 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:24 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:35:24 +0900] "GET /CSS/transform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:36:45 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:36:45 +0900] "GET /CSS/transform.css HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:37:03 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:37:03 +0900] "GET /CSS/transform.css HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:37:24 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:37:24 +0900] "GET /CSS/transform.css HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:27 +0900] "GET /CSS/transform.html HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:27 +0900] "GET /CSS/transform.css HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:27 +0900] "GET /img/graphic.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:34 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:34 +0900] "GET /CSS/transform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:34 +0900] "GET /img/graphic.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:35 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:35 +0900] "GET /CSS/transform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:35 +0900] "GET /img/graphic.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:35 +0900] "GET /CSS/transform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:14:39:35 +0900] "GET /CSS/transform.css HTTP/1.1" 304 -
